multiplier, confictSize, confictRate, timeCost, listSize, minHash, maxHash
91, 0, 0.0, 0.001, 99171, -2147468463, 2147428645
92, 43, 4.335945E-4, 0.001, 99171, -2147471745, 2147443916
93, 4, 4.0334373E-5, 0.001, 99171, -2147443893, 2147430066
94, 2, 2.0167186E-5, 0.001, 99171, -2147274971, 2147309165
95, 1, 1.0083593E-5, 0.001, 99171, -2147482971, 2147433240
96, 35828, 0.36127496, 0.001, 99171, -2147437805, 2146246131
97, 3, 3.025078E-5, 0.001, 99171, -2147483275, 2147340352
98, 4, 4.0334373E-5, 0.001, 99171, -2147374233, 2147190619
99, 1, 1.0083593E-5, 0.001, 99171, -2147332842, 2147469614
100, 37, 3.7309295E-4, 0.001, 99171, -2147468497, 2147472118
101, 0, 0.0, 0.001, 99171, -2147438652, 2147453235
102, 3, 3.025078E-5, 0.001, 99171, -2147466936, 2147449356
103, 7, 7.058515E-5, 0.001, 99171, -2147477535, 2147429776
104, 2852, 0.028758407, 0.001, 99171, -2147374069, 2147467095
105, 0, 0.0, 0.001, 99171, -2147468591, 2147455234
106, 1, 1.0083593E-5, 0.001, 99171, -2147470087, 2147453465
107, 1, 1.0083593E-5, 0.002, 99171, -2147447430, 2147468187
108, 36, 3.6300934E-4, 0.001, 99171, -2147311101, 2147416775
109, 0, 0.0, 0.001, 99171, -2147475170, 2147479807
110, 1, 1.0083593E-5, 0.001, 99171, -2147271450, 2147468076
111, 2, 2.0167186E-5, 0.002, 99171, -2147357111, 2147482077
112, 15702, 0.15833257, 0.001, 99171, -2147454669, 2147082883
113, 2, 2.0167186E-5, 0.002, 99171, -2147413667, 2147310060
114, 2, 2.0167186E-5, 0.002, 99171, -2147427003, 2147463701
115, 4, 4.0334373E-5, 0.001, 99171, -2147430189, 2147341801
116, 54, 5.4451404E-4, 0.001, 99171, -2147426648, 2147352207
117, 1, 1.0083593E-5, 0.001, 99171, -2147414600, 2147450225
118, 3, 3.025078E-5, 0.001, 99171, -2147325497, 2147481605
119, 5, 5.0417966E-5, 0.002, 99171, -2147435349, 2147376151
120, 2869, 0.028929828, 0.002, 99171, -2147464811, 2147481981
121, 1, 1.0083593E-5, 0.001, 99171, -2147335533, 2147399416
122, 0, 0.0, 0.002, 99171, -2147479015, 2147424384
123, 5, 5.0417966E-5, 0.001, 99171, -2147408168, 2147471598
124, 39, 3.9326012E-4, 0.002, 99171, -2147457645, 2147463263
125, 0, 0.0, 0.001, 99171, -2147459088, 2147434505
126, 4, 4.0334373E-5, 0.001, 99171, -2147473579, 2147351949
127, 0, 0.0, 0.001, 99171, -2147453848, 2147345772
128, 71084, 0.71678215, 0.001, 99171, -1992977421, 2136634098
129, 1, 1.0083593E-5, 0.002, 99171, -2147399845, 2147293849
130, 3, 3.025078E-5, 0.001, 99171, -2147474764, 2147470259
131, 2, 2.0167186E-5, 0.001, 99171, -2147421541, 2147445096
132, 44, 4.436781E-4, 0.002, 99171, -2147448559, 2147410463
133, 2, 2.0167186E-5, 0.001, 99171, -2147483347, 2147475185
134, 0, 0.0, 0.001, 99171, -2147450321, 2147479821
135, 2, 2.0167186E-5, 0.001, 99171, -2147456188, 2147450852
136, 2880, 0.029040748, 0.001, 99171, -2147479747, 2147478219
137, 3, 3.025078E-5, 0.001, 99171, -2147409652, 2147479717
138, 1, 1.0083593E-5, 0.001, 99171, -2147449159, 2147468134
139, 1, 1.0083593E-5, 0.001, 99171, -2147432779, 2147449525
140, 38, 3.8317652E-4, 0.002, 99171, -2147379401, 2147425951
141, 1, 1.0083593E-5, 0.001, 99171, -2147460285, 2147355268
142, 1, 1.0083593E-5, 0.001, 99171, -2147456507, 2147478361
143, 5, 5.0417966E-5, 0.001, 99171, -2147414771, 2147343112
144, 15738, 0.1586956, 0.001, 99171, -2147434975, 2147460935
145, 1, 1.0083593E-5, 0.001, 99171, -2147375169, 2147410313
146, 5, 5.0417966E-5, 0.001, 99171, -2147467708, 2147387421
147, 2, 2.0167186E-5, 0.001, 99171, -2147469758, 2147427710
148, 39, 3.9326012E-4, 0.001, 99171, -2147421133, 2147453905
149, 0, 0.0, 0.002, 99171, -2147407988, 2147409524
150, 0, 0.0, 0.001, 99171, -2147107599, 2147459589
151, 1, 1.0083593E-5, 0.001, 99171, -2147483405, 2147460290
152, 2846, 0.028697906, 0.001, 99171, -2147400221, 2147467931
153, 2, 2.0167186E-5, 0.001, 99171, -2147440689, 2147390119
154, 1, 1.0083593E-5, 0.002, 99171, -2147472477, 2147450521
155, 1, 1.0083593E-5, 0.001, 99171, -2147240928, 2147467254
156, 37, 3.7309295E-4, 0.001, 99171, -2147407905, 2147428039
157, 1, 1.0083593E-5, 0.001, 99171, -2147436723, 2147361177
158, 0, 0.0, 0.001, 99171, -2147380885, 2147428093
159, 1, 1.0083593E-5, 0.001, 99171, -2147397261, 2147433728
160, 35792, 0.36091197, 0.001, 99171, -2147365645, 2147471251
161, 1, 1.0083593E-5, 0.001, 99171, -2147448958, 2147444423
162, 0, 0.0, 0.001, 99171, -2147460509, 2147471149
163, 2, 2.0167186E-5, 0.001, 99171, -2147243363, 2147366763
164, 38, 3.8317652E-4, 0.001, 99171, -2147421233, 2147450959
165, 2, 2.0167186E-5, 0.001, 99171, -2147462812, 2147296300
166, 4, 4.0334373E-5, 0.001, 99171, -2147438593, 2147444013
167, 1, 1.0083593E-5, 0.001, 99171, -2147457528, 2147404733
168, 2857, 0.028808825, 0.001, 99171, -2147425013, 2147372315
169, 1, 1.0083593E-5, 0.001, 99171, -2147479359, 2147478142
170, 0, 0.0, 0.001, 99171, -2147423538, 2147454544
171, 1, 1.0083593E-5, 0.001, 99171, -2147401461, 2147441774
172, 39, 3.9326012E-4, 0.001, 99171, -2147468297, 2147482248
